ra dec Kp
22.442064 5.163956 10.02
20.278316 -0.184754 10.03
10.55728 5.132887 10.05
17.044469 10.611492 10.07
10.593477 4.766161 10.08
14.566623 11.997618 10.08
18.299119 6.2896 10.09
14.33609 3.314983 10.1
17.398346 11.909395 10.11
15.020646 12.082227 10.12
9.961924 7.81528 10.14
11.860424 8.594876 10.14
15.061832 12.061688 10.14
17.746234 9.959479 10.15
18.8991 0.401647 10.16
16.031299 4.365314 10.16
14.30007 6.264195 10.16
16.14555 6.264733 10.16
18.319452 11.09554 10.17
9.305028 8.103507 10.18
14.745004 0.835353 10.18
12.438584 0.025807 10.21
22.200888 7.074795 10.21
18.217859 11.393246 10.21
18.037863 9.497597 10.22
13.147368 3.346137 10.24
15.515095 2.097856 10.24
19.788794 11.984533 10.24
16.161282 3.832674 10.25
14.50002 12.03342 10.26
16.145756 6.226022 10.27
15.769846 5.730392 10.28
18.338643 0.8764 10.28
22.501959 3.426617 10.3
22.834453 6.333328 10.31
18.755586 3.90614 10.31
15.835963 5.726669 10.31
22.328617 2.763781 10.32
21.613805 1.1238 10.32
20.362833 -0.144722 10.33
18.364934 2.729225 10.33
13.102199 -1.106704 10.33
20.152064 11.25223 10.33
15.626272 11.960902 10.34
16.154326 0.245243 10.34
13.900371 -1.253065 10.35
17.050241 -1.419812 10.35
10.744529 1.826703 10.37
18.279364 6.12442 10.37
9.357957 4.558776 10.38
21.947277 3.438942 10.38
18.216236 9.620533 10.39
18.361012 2.11916 10.39
20.890393 2.724969 10.39
10.539575 2.445605 10.41
14.224298 9.688899 10.43
13.983487 11.901026 10.43
10.423156 4.302961 10.44
23.308075 6.013113 10.44
16.522075 4.511261 10.44
13.583287 4.478767 10.45
15.729886 0.314496 10.45
19.361809 12.321069 10.46
15.726103 4.237306 10.48
14.328775 6.223961 10.48
18.236979 7.725662 10.48
16.126822 2.390062 10.48
18.736234 3.86716 10.49
16.621391 1.575306 10.49
10.5749 5.200385 10.49
23.081707 2.604631 10.5
16.46129 5.66632 10.51
23.418689 6.95504 10.51
16.474394 9.34696 10.52
13.361264 0.899033 10.52
10.918264 2.009258 10.53
18.760977 1.165089 10.53
10.536979 7.825804 10.53
10.366836 4.807522 10.53
20.551005 10.53152 10.53
20.880198 10.480343 10.54
14.771578 5.381362 10.54
14.199795 9.738708 10.54
21.70205 6.726997 10.54
16.843685 5.035636 10.55
18.866202 -1.278958 10.55
14.933735 4.100736 10.55
9.552423 3.090174 10.55
10.242326 5.721853 10.56
19.144346 10.829954 10.56
12.236785 0.970319 10.56
16.073258 4.447944 10.57
22.832351 2.179654 10.57
20.197384 10.576549 10.58
13.291621 0.169732 10.58
13.128471 4.16101 10.59
16.081542 5.225984 10.59
11.798616 6.39734 10.59
15.743775 0.275494 10.6
11.267829 5.55515 10.61
16.610272 6.268584 10.61
13.83204 2.302153 10.61
15.646571 9.514824 10.62
21.039678 2.540815 10.63
21.769046 1.196035 10.64
11.538648 8.437777 10.64
15.911316 5.147105 10.64
9.5191 4.010354 10.65
19.371066 0.736519 10.65
10.388949 4.870153 10.65
16.785275 5.053017 10.65
20.373331 10.954689 10.65
17.101967 -1.636176 10.66
10.794792 2.314203 10.66
23.789924 6.66109 10.67
11.917704 5.402283 10.67
14.681384 12.15681 10.68
15.702377 1.906654 10.68
13.240004 9.589859 10.68
18.305605 11.014986 10.7
15.735596 5.054823 10.71
16.837334 -0.550783 10.71
14.244125 -0.239165 10.71
18.172658 8.737695 10.72
22.798988 6.703974 10.72
9.86649 3.314815 10.72
10.181493 3.467859 10.72
17.113525 2.676308 10.73
14.633271 3.060195 10.73
10.723269 4.188738 10.73
10.631951 4.72654 10.74
14.458361 8.238353 10.75
12.633078 3.869831 10.75
13.356178 11.145667 10.75
11.008211 9.146414 10.76
15.115533 5.346831 10.76
13.218708 6.416432 10.76
20.210784 10.572919 10.76
9.324969 4.457395 10.77
11.983707 2.213056 10.77
15.915304 0.907847 10.77
15.952722 11.762958 10.78
22.426056 3.237865 10.78
16.058024 10.851293 10.78
17.989948 9.49259 10.79
14.155201 -0.62133 10.79
20.516205 2.472771 10.79
15.772774 1.123436 10.79
22.714904 6.492691 10.79
9.979811 4.743737 10.79
22.056534 3.405015 10.8
22.996973 4.123115 10.8
18.948284 2.827052 10.81
19.021868 2.996939 10.81
15.007484 2.113445 10.82
14.854245 4.089239 10.82
16.625358 1.633001 10.82
9.566511 4.561836 10.83
10.765924 4.877082 10.83
17.723669 8.599722 10.83
9.83474 5.27336 10.83
16.000098 11.771192 10.84
23.20744 2.389709 10.84
16.975315 2.996004 10.84
15.774836 4.579435 10.86
20.09725 10.706998 10.86
20.338178 10.98918 10.87
18.074085 -0.603861 10.88
22.593169 5.096866 10.88
19.262486 11.260725 10.88
14.44022 7.229688 10.89
14.883459 7.035568 10.89
21.443052 6.100245 10.89
20.864544 2.235434 10.9
9.522523 4.595565 10.9
9.720883 7.620218 10.9
13.574515 -0.524962 10.9
11.796259 8.623253 10.9
11.849013 6.442399 10.9
12.512529 5.86725 10.9
15.774266 12.389913 10.9
17.733494 7.363494 10.9
10.459511 2.450094 10.91
12.123652 9.833958 10.91
10.999226 2.404687 10.91
19.026766 0.90023 10.92
22.115928 1.640107 10.92
9.598782 8.319525 10.92
13.546309 4.608358 10.93
14.085473 12.075551 10.93
19.785574 10.119338 10.93
17.252924 8.30823 10.93
11.889294 6.379266 10.93
14.143514 -0.574283 10.93
10.076161 3.143999 10.93
13.259704 9.663266 10.94
11.291193 4.312992 10.94
9.527541 4.309991 10.94
16.540313 4.445524 10.95
13.110455 6.788544 10.95
15.013667 12.108061 10.95
9.64036 7.632813 10.96
18.244938 -1.060694 10.96
15.305672 5.781848 10.96
16.040407 11.031261 10.96
13.760652 10.056915 10.97
19.226431 7.802855 10.97
14.342899 11.480546 10.97
13.092434 9.624857 10.98
13.094689 1.836808 10.98
20.82998 10.437581 10.98
22.123962 3.310593 10.99
18.926214 2.864557 10.99
18.827621 -1.218231 11.0
20.515675 10.913147 11.0
9.821891 5.350469 11.0
17.701679 10.16507 11.0
20.474692 10.896203 11.01
11.681763 6.244311 11.01
17.117743 3.31583 11.01
11.876395 5.393627 11.01
15.09755 5.383898 11.02
13.1845 9.842485 11.02
11.988634 6.482217 11.02
22.032684 2.645435 11.02
22.034734 5.618961 11.03
11.220451 4.328266 11.03
11.309698 5.414842 11.04
21.434457 1.122382 11.04
13.035921 -1.085476 11.04
22.333255 5.668385 11.05
17.376926 4.642557 11.05
18.66049 6.731275 11.05
11.225827 6.308127 11.06
13.024592 1.831546 11.06
13.900404 2.532961 11.06
22.851513 6.790149 11.07
15.01401 3.866004 11.07
11.802211 5.426568 11.08
21.090444 2.545795 11.08
18.272162 8.943674 11.08
15.394331 12.024986 11.08
20.589964 2.448707 11.08
10.733943 8.445587 11.09
10.045891 4.75663 11.09
18.380406 2.008709 11.09
12.868541 5.790808 11.1
23.260828 6.962911 11.11
15.874884 9.628946 11.12
20.035133 6.564395 11.12
13.039026 6.803 11.12
14.72998 1.100392 11.12
18.871631 0.21982 11.13
15.706429 4.576785 11.13
16.388843 2.188498 11.13
13.350559 9.729744 11.14
