ra dec Kp
180.021323 -5.297031 10.05
180.022865 -4.987195 10.65
180.024549 -4.998083 11.78
180.051041 -4.755621 11.02
180.059759 -5.701603 11.9
180.065414 -5.499199 11.67
180.068914 -4.952996 11.44
180.069527 -6.407681 11.83
180.080963 -5.683957 10.29
180.135898 -2.130164 11.65
180.143215 -6.100952 11.44
180.159303 -5.120626 9.05
180.16509 -5.982816 11.61
180.174537 -2.930842 9.33
180.180686 -2.940587 11.38
180.22255 -2.692846 9.9
180.224357 -3.87616 11.34
180.224523 -5.538309 10.31
180.237928 -5.288082 11.56
180.239497 -2.904717 11.72
180.239886 -3.558665 11.02
180.240574 -3.199192 11.45
180.246383 -4.594241 10.58
180.251067 -5.945208 11.71
180.25726 -1.76814 6.45
180.279479 -1.731574 10.6
180.286563 -3.572326 8.83
180.301512 -4.744869 11.12
180.316308 -0.943893 9.9
180.357519 -1.112671 11.94
180.358048 -4.152428 9.86
180.360707 -2.223523 9.34
180.370745 -6.809952 11.42
180.383456 -2.782545 11.05
180.384976 -5.871096 10.89
180.385771 -0.679854 10.95
180.407279 -2.83438 11.98
180.411295 -4.623676 10.82
180.418754 -6.569934 11.58
180.430672 -5.232974 11.65
180.434055 -3.698808 11.01
180.434677 -2.688244 9.82
180.440837 -2.002489 11.92
180.450541 -5.637208 10.23
180.452477 -1.973396 11.27
180.456044 -0.71928 11.29
180.465946 -0.251006 10.98
180.467056 -3.048602 11.82
180.475361 -5.496666 11.87
180.48008 -6.282625 9.02
180.485314 -1.922479 10.54
180.491836 -2.238337 9.16
180.493553 -3.898792 11.02
180.506707 -3.093307 11.23
180.540873 -3.580773 11.76
180.55829 -6.742966 11.97
180.559472 -0.301101 11.7
180.570594 -7.006563 9.6
180.572328 -5.801095 10.83
180.578984 -5.837773 9.7
180.588326 -5.593093 11.77
180.591344 -5.787976 9.84
180.591507 -3.141947 11.92
180.600176 -4.191861 11.11
180.60888 -6.677912 12.0
180.61452 -3.605106 11.64
180.650279 -5.317599 11.72
180.650401 -2.615597 10.08
180.658582 -0.915418 11.95
180.659033 -3.961876 11.63
180.659537 -2.675537 11.31
180.666282 -0.389443 9.9
180.668421 -2.957987 11.69
179.362046 -6.702934 11.51
180.48731 0.102102 7.99
180.48833 0.081935 8.34
180.612795 0.17383 9.99
180.625997 0.041599 8.07
180.742542 1.060007 11.83
180.799391 0.730238 11.68
180.675326 -2.087328 11.28
180.682701 -2.290758 11.89
180.683699 -5.019835 11.78
180.687397 -3.688195 11.77
180.691302 -6.465877 8.95
180.696634 -2.020643 10.75
180.742088 -2.892495 10.89
180.743293 -2.006169 11.97
180.747877 -1.278702 11.39
180.757651 -2.027655 11.54
180.760232 -6.309878 11.35
180.760403 -6.281617 11.31
180.760727 -2.181311 11.34
180.788506 -3.7149 11.63
180.80191 -5.896825 11.37
179.377897 -6.512382 11.18
179.409915 -6.42809 11.79
179.501138 -5.657167 10.33
179.50363 -6.127609 10.14
179.51159 -5.613187 11.94
180.921665 0.208641 11.97
180.931863 0.375478 10.86
180.937335 0.346665 10.12
180.94361 0.217656 11.45
180.987068 0.221414 11.23
181.001754 0.613837 11.18
181.004202 1.016154 10.98
181.04676 0.35313 11.45
181.079611 1.011652 10.95
181.085904 0.879163 11.54
181.121922 0.6979 9.49
181.140109 0.098029 10.26
181.164422 0.759595 9.33
181.16559 0.387231 9.84
181.172964 0.223598 9.5
180.805044 -3.39542 7.37
180.806408 -0.354096 11.88
180.815822 -5.509583 11.75
180.823444 -6.778835 9.94
180.846245 -5.218091 11.41
180.855215 -0.874836 11.88
180.881782 -4.190392 11.66
180.882467 -2.446795 8.03
180.886224 -6.576306 10.25
180.897983 -5.479553 7.48
180.898635 -5.55922 11.31
180.905172 -0.898706 11.79
180.906064 -2.229022 11.01
180.906448 -0.862944 9.73
180.91336 -6.388325 10.78
180.913479 -6.426711 10.5
179.533042 -5.758031 9.89
179.563075 -6.192153 11.82
181.315106 0.609043 11.11
181.316813 0.996132 11.85
181.368366 0.901744 11.07
181.399404 0.10564 11.42
181.433644 0.751751 11.79
181.441624 0.639799 11.86
181.458318 0.134007 10.05
181.522567 0.127121 10.27
181.526407 0.360241 11.5
181.52982 0.007015 9.97
181.612097 0.834149 10.78
181.629354 0.735035 11.08
180.93237 -5.395856 11.26
180.934337 -3.424228 11.48
180.946635 -0.083563 11.91
180.97138 -6.92867 9.43
180.989906 -0.583861 10.63
180.995968 -4.76292 9.09
181.005675 -1.198677 11.53
181.029155 -5.504682 10.67
181.034336 -6.82052 11.94
181.04305 -2.640397 11.82
181.045766 -0.657427 11.75
181.054696 -7.039418 11.68
179.632932 -6.236576 11.48
179.636678 -6.122114 11.47
179.667817 -6.161818 10.12
179.750598 -5.402929 10.51
179.750798 -5.11254 11.61
179.754216 -6.653691 8.17
179.762805 -4.777383 9.02
179.771563 -6.194946 9.85
181.736849 0.789266 11.81
181.817334 0.421301 8.47
181.845958 0.749688 11.47
181.885788 0.672081 11.21
181.907347 0.708524 8.99
181.962069 0.051576 10.8
182.002456 0.621331 7.16
181.063239 -2.830852 9.48
181.068469 -6.950457 10.48
181.071798 -4.93038 10.74
181.07641 -5.994133 11.82
181.097408 -4.922478 9.63
181.100966 -1.016713 11.5
181.105998 -6.837518 10.77
181.110052 -5.749901 10.56
181.111968 -1.189547 11.27
181.116555 -4.749166 11.67
181.121324 -4.888845 11.64
181.121408 -4.899233 10.84
181.14585 -1.308633 9.36
181.152567 -0.826131 11.28
181.154413 -6.741847 11.7
181.155725 -5.127179 11.35
181.156557 -3.382956 9.84
181.163943 -0.280774 10.21
181.171361 -6.127707 11.39
181.179161 -2.298047 11.93
181.187105 -5.773222 8.71
181.191551 -3.744725 11.96
181.193485 -1.160225 8.66
179.802816 -4.69725 11.11
179.810308 -4.664685 11.6
179.829396 -5.473439 11.89
179.882974 -6.756805 11.5
179.886935 -5.792174 11.67
179.891703 -3.511761 9.82
179.896382 -6.963855 10.35
182.117031 0.012087 10.03
182.182777 0.573555 10.26
182.290929 0.543566 9.73
182.328065 0.385508 10.31
182.378729 0.803377 9.73
182.393469 0.510768 10.77
182.403425 0.615963 11.8
182.431061 0.741998 11.69
181.195981 -2.312596 10.02
181.199448 -0.226721 10.43
181.201088 -3.869616 11.13
181.201284 -7.175381 11.83
181.215907 -6.199102 9.23
181.223594 -5.149296 10.59
181.22627 -0.723685 11.58
181.228152 -5.684659 11.65
181.230773 -3.811665 10.6
181.239161 -6.805026 11.77
181.24762 -7.174621 11.55
181.253484 -4.036957 9.61
181.258172 -5.504709 10.62
181.258665 -7.799968 11.58
181.259036 -4.326651 9.77
181.259824 -6.605686 11.58
181.261086 -7.126296 11.82
181.276591 -3.40694 11.37
181.276977 -3.152879 10.44
181.285358 -3.165389 10.86
181.290737 -5.616248 11.0
181.309301 -4.771299 11.34
181.309392 -3.575948 11.67
181.312598 -3.967334 11.41
