ra dec Kp
181.223594 -5.149296 10.59
181.230773 -3.811665 10.6
185.680312 -10.641618 10.6
189.643162 -9.98402 10.61
185.711434 -4.007692 10.61
182.438585 -6.288699 10.61
187.288592 -6.835564 10.61
184.061258 -6.190139 10.61
184.792294 1.916842 10.61
188.636485 -5.214514 10.62
187.058631 2.8894 10.63
186.207759 -2.075944 10.63
182.591491 -6.466293 10.63
183.244224 -1.005247 10.63
190.948211 1.813248 10.64
192.767435 -2.383782 10.65
180.022865 -4.987195 10.65
186.803277 -7.947469 10.66
189.395909 -9.969093 10.66
183.889565 3.288582 10.66
189.685442 -10.802635 10.67
187.19364 -7.51291 10.67
190.836911 -8.63987 10.67
189.924739 -5.013969 10.67
186.614494 -5.056041 10.68
187.552186 -4.835812 10.68
183.53847 -1.24914 10.68
186.540421 -4.898014 10.68
188.867922 -2.392986 10.68
186.311641 -4.449607 10.69
187.587425 -10.483649 10.69
187.98092 -2.409435 10.7
183.295614 -3.582868 10.7
186.848423 -9.647381 10.72
181.071798 -4.93038 10.74
188.429942 -9.871321 10.74
187.681079 -0.106027 10.74
182.585105 -6.464862 10.75
180.696634 -2.020643 10.75
192.023536 -8.621042 10.75
191.353917 1.359376 10.75
186.464493 -4.236897 10.76
192.713064 -8.554605 10.76
181.105998 -6.837518 10.77
185.706752 -10.601008 10.77
182.233355 -8.784284 10.77
180.91336 -6.388325 10.78
190.825532 -2.459985 10.78
193.888858 -2.220626 10.79
185.271238 -2.005442 10.79
189.866097 -5.070851 10.79
184.716687 -9.615945 10.8
184.816009 1.948614 10.8
193.89611 -2.160049 10.81
183.392346 -5.59539 10.81
188.890478 -2.161225 10.81
184.253011 -0.704111 10.81
184.884202 -8.920728 10.82
186.487762 -4.534489 10.83
189.357702 -0.633784 10.83
180.572328 -5.801095 10.83
181.121408 -4.899233 10.84
190.722067 1.826515 10.84
189.8865 -10.169246 10.84
190.298877 -0.731716 10.84
187.658201 -0.195604 10.85
192.850534 -6.899715 10.86
188.683741 -5.1879 10.86
181.586838 -4.913996 10.86
189.070938 -4.459331 10.87
184.680292 -9.638782 10.87
185.776961 2.772865 10.88
186.159394 -4.343671 10.88
190.969183 -8.530123 10.88
187.320078 -1.279655 10.89
183.368809 -5.54041 10.89
183.515823 -9.123488 10.9
189.145284 -4.470168 10.9
186.814978 -4.649076 10.9
189.963747 1.864773 10.91
192.42774 -1.883234 10.91
188.02521 -1.932974 10.92
183.087052 -10.305875 10.92
186.587901 -4.939623 10.92
189.027413 -2.343179 10.92
189.326855 -0.692242 10.92
182.311035 -10.04715 10.94
180.385771 -0.679854 10.95
192.164037 -8.007136 10.95
181.079611 1.011652 10.95
189.804093 -4.791483 10.96
185.903809 -9.074958 10.97
183.073719 -3.565015 10.97
185.793832 2.695641 10.97
190.461018 -5.005099 10.97
182.64009 -8.791022 10.97
192.013853 -0.954682 10.97
187.755799 2.743767 10.98
183.960728 -6.357418 10.98
190.631703 -4.216607 10.98
181.004202 1.016154 10.98
189.739511 -9.798629 10.99
186.251016 -9.328904 10.99
182.441139 -2.315249 11.0
189.38042 -3.573494 11.0
187.802184 -5.081936 11.0
193.234558 -1.669733 11.0
186.687418 -0.170342 11.01
189.122781 -11.119193 11.01
186.955682 -1.063576 11.01
190.359629 -1.933172 11.01
185.579936 -0.00396 11.01
184.854621 -9.046577 11.01
186.407395 -4.682315 11.02
187.908188 -9.301465 11.02
187.825168 2.7327 11.03
185.550549 -8.607209 11.03
186.000606 1.632702 11.03
186.510013 -4.252569 11.03
193.119416 -7.463904 11.04
187.825834 -2.417917 11.04
180.383456 -2.782545 11.05
189.327381 -5.350972 11.05
190.802737 -8.491683 11.05
191.869918 -7.643267 11.05
185.630602 -0.064607 11.06
191.945333 -8.604684 11.08
184.159827 2.587612 11.08
186.473065 -6.192964 11.08
184.362844 -0.027752 11.09
182.671309 -10.093084 11.1
190.024048 1.09306 11.11
179.802816 -4.69725 11.11
187.685159 0.827472 11.11
182.923754 -7.313961 11.11
184.089604 -3.694882 11.11
191.008793 -7.765742 11.12
190.057721 1.825051 11.12
181.440468 -6.540018 11.13
181.201088 -3.869616 11.13
186.998309 -0.408616 11.13
189.791806 -5.03478 11.13
188.684589 -10.396581 11.14
188.793379 -10.893527 11.14
183.336536 -3.56467 11.15
184.119411 -8.99279 11.16
181.415934 -6.802305 11.16
185.918957 -9.031108 11.17
182.768321 -6.049508 11.17
186.936325 -3.250169 11.17
185.772305 0.821705 11.18
186.813379 -7.174404 11.18
186.034086 2.47227 11.18
192.295515 -7.019167 11.19
186.384443 -7.991552 11.19
188.76477 -5.293349 11.19
185.665847 -4.716079 11.2
184.073223 -8.943403 11.2
186.03983 -8.861902 11.2
185.732116 -10.661581 11.2
190.405323 -5.061978 11.2
189.613343 -9.730511 11.21
187.890031 -2.418257 11.21
184.509225 -4.050356 11.21
182.767675 -5.159485 11.22
187.334513 -6.896054 11.23
182.389705 -0.102333 11.23
180.987068 0.221414 11.23
180.506707 -3.093307 11.23
192.391601 -1.442652 11.23
184.833416 -8.986644 11.24
189.666177 -3.290747 11.25
189.819015 1.484805 11.25
186.518593 -4.976986 11.25
182.316522 -8.786268 11.25
186.772571 -1.749949 11.26
192.335881 -8.028358 11.27
190.36613 1.076095 11.27
182.061316 -10.01097 11.27
180.452477 -1.973396 11.27
180.675326 -2.087328 11.28
187.050429 2.823422 11.28
181.463798 -6.565203 11.28
186.051249 -5.911635 11.28
183.968866 -2.40147 11.28
186.472726 -7.322998 11.28
187.005139 1.536673 11.29
180.456044 -0.71928 11.29
186.807831 -9.582648 11.3
184.463296 -0.012815 11.3
186.94167 -9.237182 11.3
186.942653 -0.425505 11.3
189.858667 -9.61247 11.3
183.480003 -7.224144 11.31
180.659537 -2.675537 11.31
186.766183 -4.475251 11.31
183.288544 -9.033828 11.32
184.216276 2.96797 11.33
185.821504 -4.236941 11.33
182.749923 -5.985155 11.34
184.375788 -0.062314 11.34
186.081133 -8.89186 11.34
181.65493 -5.349016 11.34
183.477014 -7.292058 11.35
182.970144 -7.251467 11.35
181.155725 -5.127179 11.35
187.134841 1.613642 11.36
192.396568 -7.428767 11.36
189.127358 -11.090263 11.37
188.837034 1.079719 11.37
183.585881 -1.292073 11.37
186.499291 -7.362908 11.37
189.868877 0.985858 11.38
189.409123 1.247063 11.38
180.180686 -2.940587 11.38
192.321266 -8.0116 11.38
192.280666 -7.088916 11.38
186.989951 -9.33147 11.38
188.396179 -9.877735 11.39
186.554851 -1.251863 11.39
184.065143 1.941531 11.39
184.64046 -4.460441 11.4
181.560033 -3.580665 11.4
192.863041 -7.976235 11.4
192.32378 -7.717402 11.4
187.52797 1.248501 11.4
183.004154 -3.592295 11.41
187.602269 -3.793659 11.41
181.399404 0.10564 11.42
190.549267 1.60144 11.42
188.16976 -1.901154 11.42
181.436773 -6.727237 11.42
182.721011 -10.088877 11.42
189.326019 -3.43066 11.42
183.554191 -9.145255 11.43
182.829191 -6.927138 11.43
193.27722 -1.644943 11.43
189.606293 -9.6775 11.44
180.068914 -4.952996 11.44
182.421771 -6.941041 11.44
180.94361 0.217656 11.45
187.644789 -9.093368 11.45
186.31157 -8.000958 11.45
182.652037 -6.868803 11.45
185.525516 -4.56965 11.45
184.823687 -4.67574 11.47
186.380991 -6.146064 11.47
179.636678 -6.122114 11.47
192.352178 -7.750437 11.48
179.632932 -6.236576 11.48
191.13281 -6.566514 11.48
190.498163 -2.654371 11.48
190.403851 -2.68405 11.48
184.046899 -4.155554 11.49
181.981428 -2.776165 11.5
190.380265 -2.636131 11.5
185.090881 -2.923835 11.5
185.380357 -5.827184 11.5
192.679779 -8.562498 11.52
189.614445 -9.119725 11.52
186.512887 0.793786 11.52
186.42075 -6.29956 11.52
187.143634 -0.279462 11.52
187.212129 -0.300348 11.53
184.015386 -6.237193 11.53
188.404176 -9.724577 11.53
183.184063 -4.223596 11.54
180.757651 -2.027655 11.54
190.822289 1.014993 11.54
190.656448 0.411865 11.54
185.509492 -7.863232 11.55
189.796179 -9.813505 11.55
189.938373 1.817884 11.55
189.227145 -9.224672 11.55
188.75048 2.057114 11.55
186.463831 -4.491471 11.55
181.24762 -7.174621 11.55
183.918796 -2.848635 11.56
190.948513 -8.478232 11.57
190.296402 1.108114 11.57
185.788369 -10.608275 11.57
189.88885 -9.685967 11.57
185.945759 2.274627 11.57
188.814325 -5.262169 11.57
193.896749 -1.973422 11.58
184.337696 0.252118 11.59
189.612729 -9.112507 11.6
179.810308 -4.664685 11.6
191.13106 -6.599422 11.6
186.216833 -2.01625 11.61
182.864501 -6.876505 11.61
186.785056 -8.735892 11.61
189.880148 1.522417 11.61
189.758839 -10.767513 11.62
192.372143 -1.877019 11.62
187.295604 -7.531001 11.62
185.799042 0.890508 11.63
190.624694 -4.471482 11.63
189.697161 -4.321361 11.63
187.546206 -0.124302 11.64
180.61452 -3.605106 11.64
181.121324 -4.888845 11.64
182.037332 -2.370885 11.65
187.724286 -0.156655 11.65
187.811316 -5.118355 11.65
190.682368 -4.186303 11.65
188.795316 -3.150703 11.65
182.581155 -6.911498 11.65
188.034731 -9.742683 11.65
188.060661 -9.348769 11.65
188.09347 -9.334471 11.66
193.038309 -1.991607 11.66
186.672929 -9.229245 11.66
190.658415 0.485829 11.66
187.052049 -6.316757 11.66
184.838954 -3.356434 11.67
190.972341 -8.597247 11.67
182.166369 -8.747139 11.67
187.281529 -2.098297 11.67
181.309392 -3.575948 11.67
189.676386 0.920058 11.67
187.26064 -1.312384 11.67
182.431061 0.741998 11.69
190.763462 1.772036 11.69
179.940032 -5.721729 11.69
187.472899 -10.223751 11.69
182.498875 -6.947269 11.69
192.38552 -8.040732 11.7
185.960344 -4.713435 11.7
188.040819 0.403087 11.7
183.991737 -2.349939 11.7
188.018142 -9.707971 11.7
190.533807 1.652125 11.71
189.485889 -11.165103 11.71
182.115813 -2.367435 11.72
184.596172 -1.219034 11.72
185.70772 -10.355385 11.72
189.300887 -5.408831 11.72
180.239497 -2.904717 11.72
190.076602 1.862102 11.72
186.335362 -6.165895 11.73
187.95506 -2.482883 11.73
182.060089 -0.624779 11.73
186.764214 -4.649881 11.73
190.323688 -3.79661 11.73
186.77179 -10.817177 11.73
186.818127 -10.793542 11.75
187.094665 -6.294819 11.75
186.559136 -4.517821 11.75
180.540873 -3.580773 11.76
185.968323 -8.83298 11.76
190.997263 -7.723192 11.77
190.851523 -2.431792 11.77
188.030113 -9.645618 11.77
190.636282 0.382617 11.77
189.360499 -3.571342 11.77
