ra dec Kp
8.712336 4.656482 10.95
8.712577 4.563149 11.77
8.739695 4.381432 8.84
8.810676 3.937445 11.49
8.815208 4.09324 8.17
8.815552 4.090851 11.98
8.869283 4.294676 7.73
8.948638 4.620174 11.66
8.972297 4.926466 10.91
8.999291 4.515109 11.26
9.053714 4.659631 11.85
9.07106 3.936005 10.89
9.096744 3.704962 11.78
9.127989 8.239202 11.44
9.149925 8.377143 11.06
9.166787 4.683265 10.85
9.192582 4.158284 11.4
9.196204 4.380836 11.75
9.227562 3.984272 11.38
9.268576 8.262718 11.3
9.292474 4.486376 11.91
9.301499 8.152119 11.35
9.305028 8.103507 10.18
9.30989 8.002407 11.78
9.324969 4.457395 10.77
9.335794 4.355949 11.8
9.336006 5.03083 9.95
9.357957 4.558776 10.38
9.407225 3.758284 11.93
9.427112 4.516467 9.2
9.441438 3.952655 11.84
9.465107 3.007781 10.2
9.466334 3.009108 11.25
9.479282 3.692742 11.14
9.494982 4.809015 11.86
9.501468 4.280248 11.73
9.505331 3.110419 11.94
9.509774 5.126511 10.06
9.509809 3.684547 11.79
9.514358 4.256439 11.82
9.5191 4.010354 10.65
9.522523 4.595565 10.9
9.527541 4.309991 10.94
9.533462 4.39674 9.34
9.548594 3.981551 9.24
9.552423 3.090174 10.55
9.552553 3.362168 10.71
9.552678 5.375158 11.87
9.566511 4.561836 10.83
9.56829 7.733532 11.89
9.578259 8.716662 11.99
9.591893 8.470646 9.41
9.598782 8.319525 10.92
9.601491 8.604684 7.76
9.617165 6.109646 9.4
9.619483 8.276407 8.18
9.621495 8.355131 11.45
9.64036 7.632813 10.96
9.671927 5.060516 11.2
9.686298 4.364199 10.71
9.691892 5.353642 11.21
9.698136 8.520349 11.62
9.712491 3.705073 10.96
9.719843 3.052577 11.82
9.720883 7.620218 10.9
9.722729 4.071974 11.72
9.725288 4.24943 10.39
9.735653 8.713913 11.79
9.73937 7.914921 8.09
9.742694 3.207572 11.92
9.746971 8.478136 9.69
9.7478 3.867208 10.87
9.757639 2.782237 11.76
9.769077 6.203964 10.95
9.798559 9.048293 10.83
9.805435 3.133979 7.37
9.811377 5.00456 11.66
9.821891 5.350469 11.0
9.822079 4.385899 11.99
9.822244 8.207207 8.98
9.827633 5.112153 11.89
9.834194 8.106217 10.3
9.83474 5.27336 10.83
9.836749 3.261762 11.14
9.846762 8.570159 11.38
9.862022 8.750935 10.96
9.86649 3.314815 10.72
9.87525 2.713974 9.69
9.876999 4.618765 11.73
9.879612 8.226201 9.45
9.893517 8.304915 11.5
9.899312 8.829898 11.25
9.907256 4.153475 11.48
9.907636 4.803774 10.67
9.910054 3.982345 11.78
9.918514 8.942525 11.64
9.920164 2.984099 10.7
9.924761 4.136174 10.79
9.927338 8.122829 7.33
9.945633 3.652663 7.53
9.961924 7.81528 10.14
9.979811 4.743737 10.79
9.992259 8.489309 9.06
9.998496 8.451544 11.86
10.004435 5.203432 11.94
10.008718 3.553439 10.96
10.0154 8.943317 11.92
10.016698 4.037739 10.44
10.031036 7.8369 11.89
10.041219 7.65606 8.33
10.04172 3.134727 11.49
10.044055 4.471309 11.95
10.045891 4.75663 11.09
10.067201 7.034609 11.79
10.067466 8.693383 10.22
10.07435 7.720455 9.45
10.076161 3.143999 10.93
10.079433 5.280272 9.63
10.079619 5.280967 9.9
10.0891 6.948842 9.96
10.096529 3.874687 9.75
10.110767 3.484406 11.97
10.143463 9.155911 11.9
10.15086 3.063951 11.34
10.151179 5.200499 11.57
10.16376 3.248334 11.08
10.170712 5.03807 11.68
10.17455 7.723303 11.37
10.178445 2.894716 11.9
10.181493 3.467859 10.72
10.18757 8.920188 10.41
10.191259 8.684909 11.65
10.208027 4.478309 7.71
11.840358 -0.148841 10.45
10.234244 5.281874 11.58
10.242326 5.721853 10.56
10.243968 5.767472 11.76
10.244333 4.766765 9.55
10.244748 3.480718 11.99
10.246575 7.760475 11.46
10.248442 8.21738 10.65
10.255474 9.046574 11.82
10.268329 8.747894 11.46
10.270856 9.314508 10.9
10.285215 4.525877 11.14
10.296103 5.429195 11.6
10.299404 9.355045 6.62
10.303883 3.735444 11.44
10.312602 7.809039 11.51
10.321162 8.268205 9.95
10.327943 9.129072 11.26
10.330842 8.89826 10.83
10.331998 4.228648 11.36
10.338737 3.599412 8.19
10.345025 1.805442 10.99
10.351144 6.857388 11.68
10.353112 8.911572 10.47
10.366513 4.260805 11.77
10.366836 4.807522 10.53
10.367173 7.377958 11.64
10.388949 4.870153 10.65
10.391637 1.747962 7.86
10.394007 5.21889 11.66
10.418062 5.573642 8.92
10.419039 9.358772 10.93
10.423156 4.302961 10.44
10.427073 1.881891 11.98
10.43775 4.200728 10.82
10.451829 9.503511 10.94
10.454557 2.304917 9.68
10.454773 3.865419 11.22
10.459511 2.450094 10.91
10.472734 6.660665 11.66
10.475173 1.798016 8.94
10.480582 4.615202 9.66
10.483248 9.182679 9.63
10.486742 8.943229 11.63
10.502089 7.265771 8.86
10.506746 3.78271 9.41
10.521191 4.565854 11.63
12.001968 -0.242431 8.3
12.084236 -0.489122 7.72
12.200142 -0.557978 11.89
12.269734 -0.232238 11.89
12.352401 -0.42611 11.31
12.382984 -0.284891 11.02
12.385668 -0.002249 11.82
12.472943 -0.569128 11.91
12.507582 -0.958598 11.86
12.521617 -0.543007 11.35
12.597779 -1.098845 10.26
12.650012 -1.360901 11.47
10.536979 7.825804 10.53
10.538803 6.942622 11.6
10.539575 2.445605 10.41
10.556366 8.59859 10.36
10.55728 5.132887 10.05
10.557631 7.975027 11.35
10.5749 5.200385 10.49
10.576647 7.262405 11.15
10.579327 2.554346 11.71
10.582035 4.746125 9.42
10.582643 7.799958 11.53
10.58288 4.810409 9.79
10.593477 4.766161 10.08
10.59674 4.166419 7.7
10.599102 7.278282 11.83
